"","X.11_TP10_1","X11_TP10_2","X11_TP10_3","X11_TP11_1","X11_TP11_2","X11_TP11_3","X11_TP12_1","X11_TP12_2","X11_TP12_3","X11_TP14_1","X11_TP14_2","X11_TP14_3","X11_TP15_1","X11_TP15_2","X11_TP15_3","X11_TP16_1","X11_TP16_2","X11_TP16_3","X11_TP5_1","X11_TP5_2","X11_TP5_3","X11_TP6_1","X11_TP6_2","X11_TP6_3","X11_TP7_1","X11_TP7_2","X11_TP7_3","X11_TP9_1","X11_TP9_2","X11_TP9_3","X12_TP10_1","X12_TP10_2","X12_TP10_3","X12_TP11_1","X12_TP11_2","X12_TP11_3","X12_TP12_1","X12_TP12_2","X12_TP12_3","X12_TP14_1","X12_TP14_2","X12_TP14_3","X12_TP15_1","X12_TP15_2","X12_TP15_3","X12_TP16_1","X12_TP16_2","X12_TP16_3","X12_TP5_1","X12_TP5_2","X12_TP5_3","X12_TP6_1","X12_TP6_2","X12_TP6_3","X12_TP7_1","X12_TP7_2","X12_TP7_3","X12_TP9_1","X12_TP9_2","X12_TP9_3"
"Cre01.g000350.t1.1",19.6877727508545,19.5861320495605,19.4511699676514,19.753604888916,19.690860748291,19.7270355224609,19.6145915985107,19.7538166046143,19.7160892486572,19.8902397155762,19.6646633148193,19.808952331543,19.8902397155762,19.8253345489502,19.7277011871338,20.2882766723633,19.6251907348633,19.8118228912354,20.0371131896973,19.6875324249268,19.6607513427734,19.5735950469971,19.8657455444336,19.6417064666748,19.8037109375,19.6878910064697,19.6457748413086,19.538200378418,19.7239246368408,19.540491104126,19.3962783813477,19.5929164886475,19.8998870849609,19.7533435821533,19.6039485931396,19.5027313232422,19.60498046875,19.7573223114014,19.9224071502686,19.2955131530762,19.9222621917725,19.6454219818115,19.625602722168,19.4062995910645,19.4521160125732,19.7533111572266,20.2408618927002,19.8273983001709,19.6875152587891,15.6248134993348,19.3946475982666,19.3694133758545,20.0385875701904,19.3940811157227,19.8030815124512,19.841609954834,18.6208663713286,19.5898666381836,19.4441299438477,19.9116668701172
"Cre01.g000900.t1.2",0,0,0,0,0,0,0,0,0,17.6345272064209,17.3654689788818,17.3555240631104,17.860481262207,18.3930130004883,17.976676940918,17.9854869842529,17.9256114959717,18.3708839416504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8541622161865,16.8919060766228,17.0526103973389,0,0,0,16.8565780768825,16.9285640716553,16.779821395874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cre01.g001100.t1.2",18.7586078643799,18.9119892120361,18.951114654541,19.033971786499,19.2665939331055,18.9364070892334,19.1924610137939,19.1138801574707,19.1099071502686,19.1881923675537,19.2694053649902,19.2985153198242,18.9598541259766,19.348819732666,19.1568183898926,19.0694923400879,19.0237216949463,19.0336761474609,18.7926502227783,18.681266784668,18.7824478149414,18.7670402526855,18.8261890411377,18.9418621063232,18.8920211791992,19.1381874084473,18.9072132110596,18.8793926239014,19.0294761657715,18.7972507476807,19.3522281646729,18.9668273925781,19.1542987823486,19.6482524871826,19.0993881225586,19.044548034668,19.7643852233887,18.4892673492432,19.7420043945313,19.6690311431885,19.4896202087402,19.3703289031982,19.0447616577148,19.3955249786377,19.3081474304199,19.2216396331787,19.1216144561768,19.1634178161621,19.1658000946045,19.1068910555957,19.295804977417,18.5860042572021,18.8035697937012,19.3231830596924,19.1218166351318,18.777063369751,20.0562384557593,18.9123096466064,19.2389736175537,18.891695022583
"Cre01.g001750.t1.2",0,0,0,0,0,0,17.9166603088379,17.5525493621826,17.4780902862549,17.8440189361572,17.8587818145752,17.8169890864346,0,0,0,0,0,0,18.1463394165039,17.7827682495117,17.6272773742676,18.1570911407471,18.2496128082275,17.5886421203613,18.2591171264648,18.2237377166748,17.3836364746094,18.0393905639648,17.8269958496094,18.6675758361816,18.401912689209,18.3483219146729,18.4487133026123,18.1600494384766,18.614429473877,17.5765132904053,18.2599906921387,18.1751403808594,18.3512153625488,17.8930282592773,18.2321491241455,18.6298408508301,18.5805683135986,18.4255847930908,18.4174318313942,18.4917755126953,18.577657699585,18.5199890136719,18.4838085174561,12.7039477902198,17.9994277954102,17.9296627044678,18.5034294128418,17.4411926269531,0,0,0,18.1398601531982,18.3586597442627,18.2277851104736
"Cre01.g002300.t1.2",20.6966781616211,20.553279876709,20.6194362640381,20.880916595459,20.8537654876709,21.0007209777832,20.9338035583496,20.9193267822266,20.9072723388672,21.0363750457764,20.6153106689453,20.7866020202637,20.6729717254639,20.5085258483887,20.7395820617676,20.9736518859863,20.8278789520264,20.6271171569824,20.6638813018799,20.4861087799072,20.3984298706055,20.6206893920898,20.8268718719482,20.3528327941895,20.8179244995117,20.7100296020508,20.6641426086426,20.8057746887207,20.864990234375,20.4920883178711,20.3602466583252,20.2230548858643,20.0968704223633,20.29905128479,20.0844650268555,20.4237804412842,20.3453788757324,20.1064853668213,20.4273662567139,20.0686779022217,20.212287902832,20.1703548431396,20.4492969512939,20.5434970855713,20.1146430969238,19.8960342407227,19.8548927307129,20.0754852294922,20.3800468444824,19.2130154040654,20.4006214141846,20.3882694244385,20.7418060302734,20.723840713501,20.4016628265381,20.231164932251,20.3261197418563,19.8485336303711,20.2049045562744,20.4937496185303
"Cre01.g002500.t1.2",21.067892074585,21.1100597381592,21.2408027648926,21.0256023406982,21.4147262573242,21.3368530273438,21.4178714752197,21.2209892272949,21.5122928619385,21.1127338409424,21.084529876709,21.1908702850342,20.5225772857666,20.6670913696289,20.6890182495117,19.6299114227295,20.3438625335693,20.2222290039063,20.8023872375488,20.9626808166504,21.0704479217529,20.971830368042,21.0649356842041,20.9104232788086,21.3388671875,21.1007881164551,21.2607498168945,21.1694984436035,20.8722248077393,21.0793952941895,21.6381206512451,21.64284324646,21.5186939239502,21.3523483276367,21.2086009979248,21.1963443756104,21.4069652557373,21.2794036865234,20.9810600280762,21.5474548339844,21.4793643951416,21.3059673309326,21.3833198547363,21.3637256622314,21.8376903533936,21.2606925964355,21.466775894165,21.5747776031494,20.9946575164795,23.4384498528823,21.4043159484863,21.4751148223877,21.547550201416,21.583251953125,21.901575088501,21.3267402648926,23.9499575004771,21.5270729064941,21.2179183959961,21.9361782073975
"Cre01.g003550.t1.1",0,0,0,15.7162837982178,16.1830730438232,16.3355655670166,15.9930486679077,16.3545589447021,16.0414657592773,0,0,0,16.6354143586693,16.8161582946777,16.5522937774658,17.0231156403147,16.9882621765137,17.1595554351807,0,0,0,0,0,0,16.3908748626709,16.5454025268555,16.0719223022461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cre01.g004300.t1.2",19.1696701049805,19.0508060455322,19.0822315216064,19.1898822784424,18.6957111358643,18.7130374908447,18.7671375274658,18.5762176513672,19.0626831054688,18.8280811309814,18.6650791168213,18.966516494751,19.0359325408936,18.7983894348145,19.012580871582,18.590726852417,18.7926502227783,18.9367237091064,18.7831516265869,18.9499740600586,19.1194629669189,18.8840503692627,18.8941249847412,19.1519241333008,18.5053310394287,18.7012386322021,18.9758644104004,19.1054382324219,18.7175617218018,19.2462062835693,18.9213752746582,19.3295459747314,19.2274322509766,18.9781017303467,18.9956245422363,19.1491966247559,18.7122650146484,19.0285053253174,19.1465148925781,18.9227409362793,19.0718765258789,18.7948093414307,19.2697467803955,18.8934135437012,19.2811374664307,19.2185440063477,19.1190567016602,18.7079925537109,19.7047882080078,12.1200617601166,19.0367908477783,19.2255973815918,18.7806549072266,18.9912014007568,18.8092021942139,19.2151355743408,15.6789317978645,18.960334777832,18.9321746826172,18.5148372650146
"Cre01.g004350.t1.2",16.1245460510254,16.1079330444336,16.1255941175345,0,0,0,16.1285381317139,16.1500835418701,16.1250928926941,0,0,0,16.273832321167,16.0931491851807,16.7222747802734,16.3231601715088,16.2955655186595,16.3064346313477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cre01.g004450.t1.2",0,0,0,18.0238838195801,17.7392422420718,17.5647296905518,16.5630168914795,17.5374603271484,17.6563415527344,17.1524429321289,17.5578930855148,17.5024585723877,17.7546005249023,17.3478469848633,17.2261867523193,17.2230777740479,17.2524814605713,17.2843723297119,0,0,0,0,0,0,0,0,0,18.0773887634277,17.6630306243896,18.0709521306002,18.0747261047363,17.7980422973633,17.9262863492556,18.0594921112061,17.658992767334,17.4239044189453,18.1131935119629,17.6897525787354,17.979190826416,18.1237373352051,17.9183502197266,17.6759014129639,17.9465855955509,17.8337421417236,18.2451171875,18.0410499572754,18.067337540679,18.1371612548828,18.5862236022949,13.6480236500374,18.1922454833984,0,0,0,0,0,0,17.5126781463623,17.9473389466352,18.2463226318359
